Roll No.,Professional Elective 1,Professional Elective 2,Core Section
22051313,CI_CS-4,DOS_CS-14,CSE-12
22051314,DMDW_CS-24,DOS_CS-3,CSE-33
22051315,DMDW_CS-24,DOS_CS-3,CSE-33
22051316,DMDW_CS-24,DOS_CS-3,CSE-38
22051317,DMDW_CS-1,DOS_CS-15,CSE-33
22051318,DMDW_CS-37,HPC_CS-14,CSE-26
22051319,CD_CS-2,HPC_CS-4,CSE-15
2205132,DMDW_CS-2,DOS_CS-8,CSE-15
22051320,DMDW_CS-27,DOS_CS-32,CSE-32
22051321,DMDW_CS-27,HPC_CS-1,CSE-01
22051322,DMDW_CS-37,HPC_CS-14,CSE-26
22051323,CD_CS-4,DOS_CS-15,CSE-46
22051324,CI_CS-2,DOS_CS-6,CSE-32
22051325,CI_CS-2,DOS_CS-6,CSE-24
22051326,DMDW_CS-27,DOS_CS-5,CSE-41
22051327,DMDW_CS-6,DOS_CS-22,CSE-42
22051328,DMDW_CS-5,HPC_CS-14,CSE-36
22051329,DMDW_CS-30,HPC_CS-2,CSE-52
2205133,DMDW_CS-37,HPC_CS-1,CSE-51
22051330,DMDW_CS-30,DOS_CS-4,CSE-11
22051331,DMDW_CS-5,DOS_CS-15,CSE-35
22051332,DMDW_CS-5,HPC_CS-13,CSE-35
22051333,DMDW_CS-3,DOS_CS-7,CSE-24
22051334,DMDW_CS-2,HPC_CS-1,CSE-02
22051335,DMDW_CS-18,DOS_CS-10,CSE-26
22051336,CI_CS-6,HPC_CS-2,CSE-34
22051337,CI_CS-11,DOS_CS-6,CSE-11
22051339,DMDW_CS-27,DOS_CS-21,CSE-42
2205134,CI_CS-5,DOS_CS-31,CSE-03
22051340,CD_CS-4,DOS_CS-22,CSE-46
22051341,DMDW_CS-1,HPC_CS-17,CSE-55
22051342,DMDW_CS-36,DOS_CS-7,CSE-42
22051343,DMDW_CS-36,DOS_CS-15,CSE-54
22051344,DMDW_CS-12,HPC_CS-6,CSE-15
22051345,DMDW_CS-4,HPC_CS-2,CSE-05
22051346,CD_CS-2,DOS_CS-30,CSE-32
22051347,CI_CS-3,HPC_CS-14,CSE-08
22051348,DMDW_CS-10,HPC_CS-19,CSE-17
22051349,CI_CS-13,DOS_CS-26,CSE-21
2205135,CI_CS-5,DOS_CS-31,CSE-03
22051350,DMDW_CS-21,HPC_CS-14,CSE-31
22051351,CI_CS-12,DOS_CS-9,CSE-39
22051352,CI_CS-3,HPC_CS-14,CSE-14
22051354,DMDW_CS-4,DOS_CS-32,CSE-09
22051355,DMDW_CS-2,HPC_CS-14,CSE-25
22051356,DMDW_CS-6,DOS_CS-4,CSE-09
22051357,DMDW_CS-6,DOS_CS-18,CSE-09
22051358,DMDW_CS-9,DOS_CS-15,CSE-42
22051359,CI_CS-10,DOS_CS-18,CSE-27
22051360,DMDW_CS-9,DOS_CS-10,CSE-09
22051361,DMDW_CS-24,DOS_CS-19,CSE-14
22051362,DMDW_CS-24,DOS_CS-3,CSE-14
22051363,DMDW_CS-37,HPC_CS-19,CSE-27
22051364,CI_CS-2,HPC_CS-12,CSE-31
22051365,DMDW_CS-5,HPC_CS-3,CSE-26
22051366,DMDW_CS-2,HPC_CS-2,CSE-08
